z,y,x
16.4864,8.930134,17.173334
17.173334,9.617066,16.142933
14.769067,9.960533,19.234133
12.021334,9.960533,16.829866
10.647467,9.617066,18.5472
14.769067,14.4256,17.860268
12.021334,12.708267,18.203733
16.142933,8.586667,16.829866
15.799467,8.930134,16.829866
14.082133,8.586667,19.921066
12.021334,9.960533,14.769067
11.3344,9.2736,17.5168
14.4256,13.3952,18.5472
12.708267,13.051733,17.860268
8.2432,5.4954667,20.951468
8.2432,7.2128,20.951468
8.2432,8.586667,22.6688
7.2128,8.2432,21.981867
8.586667,8.2432,21.981867
10.990933,13.051733,19.234133
11.3344,12.021334,17.860268
9.2736,5.152,20.264534
9.2736,6.1824,19.921066
8.2432,7.2128,24.042667
7.556267,8.2432,19.921066
7.556267,9.2736,21.638401
12.021334,14.769067,18.203733
11.677867,13.051733,18.5472
10.304,8.930134,20.951468
9.617066,7.556267,20.608
8.586667,9.2736,27.133867
10.647467,9.960533,20.608
12.708267,13.051733,17.5168
10.304,9.2736,21.981867
9.960533,7.8997335,21.294933
7.8997335,7.556267,24.7296
8.586667,11.677867,21.294933
8.2432,10.647467,20.608
12.3648,13.738667,20.951468
11.677867,14.4256,18.890667
10.304,5.8389335,18.890667
12.021334,6.1824,18.890667
12.3648,7.2128,22.325333
8.930134,6.8693333,18.890667
8.586667,9.960533,20.951468
11.3344,10.304,21.294933
10.304,9.960533,21.638401
10.647467,5.4954667,19.234133
11.677867,6.1824,19.234133
12.708267,7.2128,23.6992
9.617066,7.556267,20.608
10.304,9.960533,19.921066
10.990933,10.647467,21.638401
12.021334,8.930134,19.5776
11.677867,8.2432,21.981867
9.617066,8.586667,26.7904
15.799467,10.304,18.5472
10.647467,10.304,18.203733
10.647467,8.586667,17.860268
11.3344,7.556267,16.829866
14.4256,8.586667,26.103466
10.990933,11.3344,20.608
10.304,9.960533,19.921066
13.051733,13.051733,20.951468
10.647467,14.769067,20.264534
8.930134,13.051733,16.4864
8.586667,5.4954667,21.294933
8.586667,6.1824,21.638401
8.586667,7.2128,24.7296
8.2432,7.8997335,21.294933
6.5258665,8.2432,8.930134
0.34346667,0.34346667,0.34346667
9.960533,10.990933,8.2432
16.142933,15.112534,16.4864
13.051733,15.112534,15.456
8.2432,5.8389335,20.951468
7.556267,6.5258665,21.638401
7.2128,8.2432,25.76
8.586667,9.960533,16.829866
12.3648,12.708267,16.4864
12.728001,8.2560005,20.640001
10.6640005,7.2240005,18.92
14.104,8.2560005,23.392
8.6,8.6,17.2
7.912,9.288,19.608
12.384001,14.448001,20.296001
9.976001,7.912,7.912
11.696,8.2560005,19.952002
9.632,5.848,18.232
12.384001,8.944,23.392
8.2560005,9.632,16.856
7.2240005,9.288,18.232
11.696,13.0720005,20.296001
11.008,15.824,19.608
10.320001,4.816,18.232
11.008,5.848,18.92
10.320001,7.2240005,23.736
8.6,7.5680003,21.328001
8.944,7.2240005,19.952002
11.352,12.728001,18.576
11.696,12.04,17.544
11.696,5.848,18.232
9.632,5.504,19.264
10.320001,7.912,23.048
8.6,7.912,18.92
10.320001,8.2560005,19.952002
13.416,14.104,20.640001
15.799467,7.8997335,19.5776
17.5168,8.586667,19.234133
16.4864,9.960533,23.6992
12.021334,10.990933,20.608
0.34346667,0.34346667,0.34346667
10.647467,10.304,21.294933
12.708267,15.456,20.951468
14.4256,18.203733,18.890667
15.799467,7.556267,19.921066
15.799467,8.586667,19.234133
16.829866,8.586667,25.416534
11.3344,10.647467,19.921066
8.586667,10.647467,22.325333
12.708267,14.4256,21.294933
12.708267,13.738667,20.608
12.3648,5.152,17.860268
13.3952,6.1824,18.890667
14.082133,8.930134,23.6992
10.647467,8.930134,21.294933
8.586667,10.304,21.638401
14.082133,14.769067,20.264534
13.051733,16.4864,19.234133
18.5472,15.112534,12.708267
11.677867,5.152,18.890667
12.708267,6.1824,19.921066
13.3952,8.586667,23.012266
9.2736,8.930134,20.264534
8.930134,9.617066,22.325333
13.738667,13.051733,21.638401
14.4256,13.3952,18.890667
14.082133,8.930134,18.890667
14.769067,8.930134,17.5168
10.647467,8.2432,22.325333
8.2432,9.960533,17.173334
7.556267,9.617066,18.890667
12.3648,12.708267,17.5168
10.304,11.677867,19.234133
15.456,8.930134,19.234133
13.3952,9.960533,17.5168
10.647467,8.2432,20.951468
7.556267,9.2736,19.5776
7.556267,9.617066,19.5776
12.021334,13.3952,18.5472
9.2736,11.3344,17.860268
13.051733,5.4954667,14.769067
11.677867,7.8997335,18.890667
9.617066,8.930134,19.5776
8.2432,7.8997335,19.921066
8.2432,8.586667,20.951468
12.021334,12.3648,21.294933
12.021334,14.769067,18.203733
10.990933,12.708267,13.051733
12.708267,5.152,16.142933
12.021334,7.2128,17.5168
9.617066,7.2128,20.264534
7.8997335,7.556267,19.5776
6.8693333,8.930134,20.264534
12.021334,13.738667,19.921066
10.990933,14.082133,18.5472
10.304,7.556267,20.608
10.990933,7.2128,19.921066
10.990933,8.930134,23.012266
9.960533,7.8997335,20.951468
10.647467,6.5258665,20.608
8.2432,10.304,22.6688
12.021334,10.304,16.829866
9.960533,5.4954667,18.203733
10.304,6.1824,18.890667
13.051733,7.2128,21.981867
9.960533,8.586667,18.890667
7.556267,7.556267,17.5168
15.799467,13.3952,16.4864
11.3344,5.152,18.203733
11.3344,6.8693333,19.5776
13.051733,8.586667,20.951468
9.960533,7.8997335,20.951468
9.960533,7.2128,18.890667
15.456,11.3344,16.4864
10.647467,7.8997335,21.638401
9.617066,5.8389335,15.799467
14.4256,7.8997335,21.981867
4.1216,5.8389335,9.617066
5.4954667,8.2432,12.021334
10.304,7.8997335,23.012266
9.617066,6.8693333,19.921066
14.082133,7.8997335,23.355734
6.8693333,9.960533,17.860268
6.8693333,8.930134,16.142933
11.3344,13.3952,20.264534
9.960533,11.3344,17.5168
15.112534,5.8389335,15.799467
15.112534,8.2432,18.5472
13.051733,8.930134,22.6688
8.930134,7.2128,20.264534
8.930134,8.586667,18.890667
14.769067,10.990933,17.173334
13.3952,11.3344,14.769067
16.142933,5.4954667,14.769067
14.4256,8.2432,17.860268
13.738667,8.930134,21.294933
8.2432,7.2128,20.264534
8.2432,8.930134,19.921066
13.3952,11.677867,17.860268
12.708267,11.3344,19.921066
13.051733,12.708267,9.617066
16.829866,8.930134,20.951468
14.082133,7.8997335,18.890667
12.3648,10.304,14.4256
10.647467,8.930134,17.5168
0.68693334,1.3738667,1.7173333
0.34346667,0.34346667,0.34346667
14.082133,13.3952,10.990933
1.0304,1.3738667,1.3738667
11.3344,12.3648,15.799467
9.2736,8.586667,8.930134
16.142933,9.960533,18.5472
16.142933,12.708267,20.608
10.304,9.960533,18.890667
8.2432,9.617066,19.921066
13.3952,11.3344,17.860268
10.647467,11.3344,17.5168
8.930134,6.1824,18.890667
8.2432,6.5258665,19.921066
9.2736,7.2128,24.042667
7.556267,8.2432,21.981867
6.1824,10.304,20.264534
16.829866,12.3648,17.860268
13.3952,11.677867,15.456
8.930134,7.556267,19.921066
7.556267,8.2432,21.981867
7.8997335,9.960533,23.6992
7.2128,7.556267,21.638401
11.677867,11.3344,19.234133
11.677867,7.2128,21.638401
14.082133,6.8693333,19.5776
15.456,7.8997335,22.6688
11.3344,9.2736,18.5472
15.799467,13.3952,17.860268
12.708267,7.556267,21.294933
13.3952,5.8389335,20.264534
15.799467,6.8693333,21.981867
14.769067,12.708267,17.860268
12.021334,6.1824,18.5472
